ID,TRT,Herbicide,AI,Rate,Cultivar,Rep,Run,Biomass,CNTRLAVG,VSCNTRL,Biomass_Red.
,0,Control,dicamba,0,X-59,1,1,2.53,2.02,1.00,0.00
,0,Control,dicamba,0,X-59,2,1,2.02,2.02,1.00,0.00
,0,Control,dicamba,0,X-59,3,1,1.56,2.02,0.77,0.23
,0,Control,dicamba,0,X-59,4,1,1.88,2.02,0.93,0.07
,0,Control,dicamba,0,X-59,5,1,1.67,2.02,0.83,0.17
,0,Control,dicamba,0,X-59,6,1,2.48,2.02,1.00,0.00
1001,1,Xtendimax,dicamba,70,X-59,1,1,1.79,2.02,0.89,0.11
1002,1,Xtendimax,dicamba,70,X-59,2,1,1.41,2.02,0.70,0.30
1003,1,Xtendimax,dicamba,70,X-59,3,1,1.93,2.02,0.96,0.04
1004,2,Xtendimax,dicamba,140,X-59,1,1,1.23,2.02,0.61,0.39
1005,2,Xtendimax,dicamba,140,X-59,2,1,1.5,2.02,0.74,0.26
1006,2,Xtendimax,dicamba,140,X-59,3,1,0.91,2.02,0.45,0.55
1007,3,Xtendimax,dicamba,280,X-59,1,1,0.35,2.02,0.17,0.83
1008,3,Xtendimax,dicamba,280,X-59,2,1,0.62,2.02,0.31,0.69
1009,3,Xtendimax,dicamba,280,X-59,3,1,0.75,2.02,0.37,0.63
1010,4,Xtendimax,dicamba,420,X-59,1,1,0,2.02,0.00,1.00
1011,4,Xtendimax,dicamba,420,X-59,2,1,0.65,2.02,0.32,0.68
1012,4,Xtendimax,dicamba,420,X-59,3,1,0.54,2.02,0.27,0.73
1013,5,Xtendimax,dicamba,560,X-59,1,1,0,2.02,0.00,1.00
1014,5,Xtendimax,dicamba,560,X-59,2,1,0.28,2.02,0.14,0.86
1015,5,Xtendimax,dicamba,560,X-59,3,1,0.06,2.02,0.03,0.97
1016,6,Xtendimax,dicamba,1120,X-59,1,1,0,2.02,0.00,1.00
1017,6,Xtendimax,dicamba,1120,X-59,2,1,0.26,2.02,0.13,0.87
1018,6,Xtendimax,dicamba,1120,X-59,3,1,0.03,2.02,0.01,0.99
1019,7,Xtendimax,dicamba,2240,X-59,1,1,0.08,2.02,0.04,0.96
1020,7,Xtendimax,dicamba,2240,X-59,2,1,0.11,2.02,0.05,0.95
1021,7,Xtendimax,dicamba,2240,X-59,3,1,0.07,2.02,0.03,0.97
