ID,TRT,Herbicide,AI,Rate,Cultivar,Rep,Run,Biomass,CNTRL_AVG,VSCNTRL,Biomass_Red.
,0,Control,dicamba,0,X-59,1,1,0.12,0.33,0.37,0.63
,0,Control,dicamba,0,X-59,2,1,0.4,0.33,1.00,0.00
,0,Control,dicamba,0,X-59,3,1,0.46,0.33,1.00,0.00
,0,Control,dicamba,0,X-59,4,1,0.45,0.33,1.00,0.00
,0,Control,dicamba,0,X-59,5,1,0,0.33,0.00,1.00
,0,Control,dicamba,0,X-59,6,1,0.53,0.33,1.00,0.00
2001,1,Xtendimax,dicamba,70,X-59,1,1,0.33,0.33,1.00,0.00
2002,1,Xtendimax,dicamba,70,X-59,2,1,0.32,0.33,0.97,0.03
2003,1,Xtendimax,dicamba,70,X-59,3,1,0.27,0.33,0.82,0.18
2004,2,Xtendimax,dicamba,140,X-59,1,1,0.02,0.33,0.06,0.94
2005,2,Xtendimax,dicamba,140,X-59,2,1,0,0.33,0.00,1.00
2006,2,Xtendimax,dicamba,140,X-59,3,1,0.04,0.33,0.12,0.88
2007,3,Xtendimax,dicamba,280,X-59,1,1,0,0.33,0.00,1.00
2008,3,Xtendimax,dicamba,280,X-59,2,1,0,0.33,0.00,1.00
2009,3,Xtendimax,dicamba,280,X-59,3,1,0.21,0.33,0.64,0.36
2010,4,Xtendimax,dicamba,420,X-59,1,1,0,0.33,0.00,1.00
2011,4,Xtendimax,dicamba,420,X-59,2,1,0,0.33,0.00,1.00
2012,4,Xtendimax,dicamba,420,X-59,3,1,0,0.33,0.00,1.00
2013,5,Xtendimax,dicamba,560,X-59,1,1,0.07,0.33,0.21,0.79
2014,5,Xtendimax,dicamba,560,X-59,2,1,0,0.33,0.00,1.00
2015,5,Xtendimax,dicamba,560,X-59,3,1,0,0.33,0.00,1.00
2016,6,Xtendimax,dicamba,1120,X-59,1,1,0,0.33,0.00,1.00
2017,6,Xtendimax,dicamba,1120,X-59,2,1,0,0.33,0.00,1.00
2018,6,Xtendimax,dicamba,1120,X-59,3,1,0,0.33,0.00,1.00
2019,7,Xtendimax,dicamba,2240,X-59,1,1,0,0.33,0.00,1.00
