EU,TRT,Herbicide,AI,Rate,Cultivar,Replication,Run,Biomass,biomperc,biomred
,,Pursuit,imazethapyr,0,X-59,1,1,,,0
,,Pursuit,imazethapyr,0,X-59,2,1,,,0
,,Pursuit,imazethapyr,0,X-59,3,1,,,0
1106,36,Pursuit,imazethapyr,0.125,X-59,1,1,0.66,0.49,0.51
1107,36,Pursuit,imazethapyr,0.125,X-59,2,1,0.39,0.29,0.71
1108,36,Pursuit,imazethapyr,0.125,X-59,3,1,0.45,0.33,0.67
1109,37,Pursuit,imazethapyr,0.25,X-59,1,1,0.45,0.33,0.67
1110,37,Pursuit,imazethapyr,0.25,X-59,2,1,0.42,0.31,0.69
1111,37,Pursuit,imazethapyr,0.25,X-59,3,1,0.31,0.23,0.77
1112,38,Pursuit,imazethapyr,0.5,X-59,1,1,0.29,0.21,0.79
1113,38,Pursuit,imazethapyr,0.5,X-59,2,1,0.28,0.21,0.79
1114,38,Pursuit,imazethapyr,0.5,X-59,3,1,0.47,0.35,0.65
1115,39,Pursuit,imazethapyr,0.75,X-59,1,1,0.29,0.21,0.79
1116,39,Pursuit,imazethapyr,0.75,X-59,2,1,0.11,0.08,0.92
1117,39,Pursuit,imazethapyr,0.75,X-59,3,1,0.12,0.09,0.91
1118,40,Pursuit,imazethapyr,1,X-59,1,1,0.18,0.13,0.87
1119,40,Pursuit,imazethapyr,1,X-59,2,1,0.07,0.05,0.95
1120,40,Pursuit,imazethapyr,1,X-59,3,1,0.12,0.09,0.91
1121,41,Pursuit,imazethapyr,2,X-59,1,1,0.14,0.1,0.9
1122,41,Pursuit,imazethapyr,2,X-59,2,1,0.05,0.04,0.96
1123,41,Pursuit,imazethapyr,2,X-59,3,1,0.14,0.1,0.9
1124,42,Pursuit,imazethapyr,4,X-59,1,1,0,0,1
1125,42,Pursuit,imazethapyr,4,X-59,2,1,0.06,0.04,0.96
1126,42,Pursuit,imazethapyr,4,X-59,3,1,0.06,0.04,0.96
,,,imazethapyr,,CRS-1,1,1,,,0
,,,imazethapyr,,CRS-1,2,1,,,0
,,,imazethapyr,,CRS-1,3,1,,,0
1379,36,Pursuit,imazethapyr,0.125,CRS-1,1,1,0.87,0.62,0.38
1380,36,Pursuit,imazethapyr,0.125,CRS-1,2,1,1,0.71,0.29
1381,36,Pursuit,imazethapyr,0.125,CRS-1,3,1,0.91,0.65,0.35
1382,37,Pursuit,imazethapyr,0.25,CRS-1,1,1,0.3,0.21,0.79
1383,37,Pursuit,imazethapyr,0.25,CRS-1,2,1,0.77,0.55,0.45
1384,37,Pursuit,imazethapyr,0.25,CRS-1,3,1,0.59,0.42,0.58
1385,38,Pursuit,imazethapyr,0.5,CRS-1,1,1,0.49,0.35,0.65
1386,38,Pursuit,imazethapyr,0.5,CRS-1,2,1,0.48,0.34,0.66
1387,38,Pursuit,imazethapyr,0.5,CRS-1,3,1,0.27,0.19,0.81
1388,39,Pursuit,imazethapyr,0.75,CRS-1,1,1,0.37,0.26,0.74
1389,39,Pursuit,imazethapyr,0.75,CRS-1,2,1,0.09,0.06,0.94
1390,39,Pursuit,imazethapyr,0.75,CRS-1,3,1,0.15,0.11,0.89
1391,40,Pursuit,imazethapyr,1,CRS-1,1,1,0.31,0.22,0.78
1392,40,Pursuit,imazethapyr,1,CRS-1,2,1,0.21,0.15,0.85
1393,40,Pursuit,imazethapyr,1,CRS-1,3,1,0.19,0.13,0.87
1394,41,Pursuit,imazethapyr,2,CRS-1,1,1,0.17,0.12,0.88
1395,41,Pursuit,imazethapyr,2,CRS-1,2,1,0.17,0.12,0.88
1396,41,Pursuit,imazethapyr,2,CRS-1,3,1,0.26,0.18,0.82
1397,42,Pursuit,imazethapyr,4,CRS-1,1,1,0.11,0.08,0.92
1398,42,Pursuit,imazethapyr,4,CRS-1,2,1,0.11,0.08,0.92
1399,42,Pursuit,imazethapyr,4,CRS-1,3,1,0.09,0.06,0.94
1148,50,Aatrex 4L,atrazine,0.125,X-59,1,1,0,0,1
1149,50,Aatrex 4L,atrazine,0.125,X-59,2,1,0,0,1
1150,50,Aatrex 4L,atrazine,0.125,X-59,3,1,0,0,1
1151,51,Aatrex 4L,atrazine,0.25,X-59,1,1,0,0,1
1152,51,Aatrex 4L,atrazine,0.25,X-59,2,1,0.08,0.06,0.94
1153,51,Aatrex 4L,atrazine,0.25,X-59,3,1,0,0,1
1154,52,Aatrex 4L,atrazine,0.5,X-59,1,1,0,0,1
1155,52,Aatrex 4L,atrazine,0.5,X-59,2,1,0,0,1
1156,52,Aatrex 4L,atrazine,0.5,X-59,3,1,0,0,1
1157,53,Aatrex 4L,atrazine,0.75,X-59,1,1,0,0,1
1158,53,Aatrex 4L,atrazine,0.75,X-59,2,1,0,0,1
1159,53,Aatrex 4L,atrazine,0.75,X-59,3,1,0,0,1
1160,54,Aatrex 4L,atrazine,1,X-59,1,1,0,0,1
1161,54,Aatrex 4L,atrazine,1,X-59,2,1,0,0,1
1162,54,Aatrex 4L,atrazine,1,X-59,3,1,0,0,1
1163,55,Aatrex 4L,atrazine,2,X-59,1,1,0,0,1
1164,55,Aatrex 4L,atrazine,2,X-59,2,1,0,0,1
1165,55,Aatrex 4L,atrazine,2,X-59,3,1,0,0,1
1166,56,Aatrex 4L,atrazine,4,X-59,1,1,0,0,1
1167,56,Aatrex 4L,atrazine,4,X-59,2,1,0,0,1
1168,56,Aatrex 4L,atrazine,4,X-59,3,1,0,0,1
1421,50,Aatrex 4L,atrazine,0.125,CRS-1,1,1,0,0,1
1422,50,Aatrex 4L,atrazine,0.125,CRS-1,2,1,0,0,1
1423,50,Aatrex 4L,atrazine,0.125,CRS-1,3,1,0,0,1
1424,51,Aatrex 4L,atrazine,0.25,CRS-1,1,1,0.14,0.1,0.9
1425,51,Aatrex 4L,atrazine,0.25,CRS-1,2,1,0.06,0.04,0.96
1426,51,Aatrex 4L,atrazine,0.25,CRS-1,3,1,0.25,0.18,0.82
1427,52,Aatrex 4L,atrazine,0.5,CRS-1,1,1,0,0,1
1428,52,Aatrex 4L,atrazine,0.5,CRS-1,2,1,0,0,1
1429,52,Aatrex 4L,atrazine,0.5,CRS-1,3,1,0,0,1
1430,53,Aatrex 4L,atrazine,0.75,CRS-1,1,1,0.04,0.03,0.97
1431,53,Aatrex 4L,atrazine,0.75,CRS-1,2,1,0,0,1
