Plot,Rep,Location,Treatment,Cultivar,Seeding_Rate,Nitrogen_Rate,Grain_Yield,Fiber_Yield
101,1,ARL,1,X-59,22,0,245.2,90
304,2,ARL,1,X-59,22,0,1110.2,760
111,3,ARL,1,X-59,22,0,344.1,270
316,4,ARL,1,X-59,22,0,1090.6,540
102,1,ARL,2,X-59,22,67,1885.6,1320
403,2,ARL,2,X-59,22,67,1367.6,650
211,3,ARL,2,X-59,22,67,778.4,580
310,4,ARL,2,X-59,22,67,1208.2,760
103,1,ARL,3,X-59,22,134,2571.5,1890
407,2,ARL,3,X-59,22,134,2365.5,1330
215,3,ARL,3,X-59,22,134,1902.5,1220
312,4,ARL,3,X-59,22,134,799.6,330
104,1,ARL,4,X-59,34,0,759.5,480
307,2,ARL,4,X-59,34,0,947.1,740
212,3,ARL,4,X-59,34,0,559.8,270
414,4,ARL,4,X-59,34,0,1104.9,730
105,1,ARL,5,X-59,34,67,2054.7,1830
302,2,ARL,5,X-59,34,67,2126.6,1540
216,3,ARL,5,X-59,34,67,2127.8,1640
411,4,ARL,5,X-59,34,67,2387.9,1270
106,1,ARL,6,X-59,34,134,2381,1570
309,2,ARL,6,X-59,34,134,1645.4,860
110,3,ARL,6,X-59,34,134,781.1,360
417,4,ARL,6,X-59,34,134,1397.9,830
107,1,ARL,7,X-59,45,0,1327.1,1000
401,2,ARL,7,X-59,45,0,704,400
113,3,ARL,7,X-59,45,0,687.9,320
318,4,ARL,7,X-59,45,0,436.9,270
108,1,ARL,8,X-59,45,67,1662.2,1580
406,2,ARL,8,X-59,45,67,1645.4,1300
118,3,ARL,8,X-59,45,67,741.8,520
415,4,ARL,8,X-59,45,67,1473.7,1060
109,1,ARL,9,X-59,45,134,2791.3,2660
308,2,ARL,9,X-59,45,134,2285.6,1860
117,3,ARL,9,X-59,45,134,1876.4,1040
412,4,ARL,9,X-59,45,134,1648.5,960
201,1,ARL,10,CRS-1,22,0,1196.7,790
303,2,ARL,10,CRS-1,22,0,875.9,650
116,3,ARL,10,CRS-1,22,0,922.4,1030
317,4,ARL,10,CRS-1,22,0,675.3,560
202,1,ARL,11,CRS-1,22,67,1477.9,1340
305,2,ARL,11,CRS-1,22,67,2158.4,2450
213,3,ARL,11,CRS-1,22,67,1595.3,1910
311,4,ARL,11,CRS-1,22,67,1047.7,960
203,1,ARL,12,CRS-1,22,134,2385.4,2270
405,2,ARL,12,CRS-1,22,134,2324.5,2080
214,3,ARL,12,CRS-1,22,134,2102.1,1620
418,4,ARL,12,CRS-1,22,134,1394.2,1490
204,1,ARL,13,CRS-1,34,0,1452.3,1500
301,2,ARL,13,CRS-1,34,0,1040.2,930
210,3,ARL,13,CRS-1,34,0,996.5,760
314,4,ARL,13,CRS-1,34,0,901,1010
205,1,ARL,14,CRS-1,34,67,1464.9,1970
404,2,ARL,14,CRS-1,34,67,2219.8,1870
114,3,ARL,14,CRS-1,34,67,1021.5,1190
410,4,ARL,14,CRS-1,34,67,1171.1,1190
206,1,ARL,15,CRS-1,34,134,1850.9,2340
402,2,ARL,15,CRS-1,34,134,2371.8,2130
112,3,ARL,15,CRS-1,34,134,1103.7,1200
313,4,ARL,15,CRS-1,34,134,1845.7,1820
207,1,ARL,16,CRS-1,45,0,1391.8,1760
409,2,ARL,16,CRS-1,45,0,1205.1,1360
115,3,ARL,16,CRS-1,45,0,801.4,1020
413,4,ARL,16,CRS-1,45,0,740.2,920
209,1,ARL,17,CRS-1,45,67,1563,2000
408,2,ARL,17,CRS-1,45,67,1603.5,1740
218,3,ARL,17,CRS-1,45,67,1183,1210
416,4,ARL,17,CRS-1,45,67,1400.3,1450
208,1,ARL,18,CRS-1,45,134,2587.2,3550
306,2,ARL,18,CRS-1,45,134,1453.1,1570
217,3,ARL,18,CRS-1,45,134,1659.5,1390
315,4,ARL,18,CRS-1,45,134,1509.8,1700
101,1,CF,1,X-59,22,0,479.8,426.7
305,2,CF,1,X-59,22,0,267.1,366.7
605,3,CF,1,X-59,22,0,547.3,436.7
707,4,CF,1,X-59,22,0,755.4,976.7
102,1,CF,2,X-59,22,67,866.5,646.7
306,2,CF,2,X-59,22,67,568.9,656.7
604,3,CF,2,X-59,22,67,760.5,556.7
709,4,CF,2,X-59,22,67,1719.5,1106.7
103,1,CF,3,X-59,22,134,888.5,596.7
304,2,CF,3,X-59,22,134,745.8,456.7
601,3,CF,3,X-59,22,134,1291.4,996.7
703,4,CF,3,X-59,22,134,1868.1,1226.7
104,1,CF,4,X-59,34,0,65.3,146.7
307,2,CF,4,X-59,34,0,341.3,426.7
608,3,CF,4,X-59,34,0,724.8,636.7
805,4,CF,4,X-59,34,0,487.6,496.7
105,1,CF,5,X-59,34,67,687.5,506.7
402,2,CF,5,X-59,34,67,998.7,696.7
509,3,CF,5,X-59,34,67,1387.3,926.7
706,4,CF,5,X-59,34,67,831.8,986.7
106,1,CF,6,X-59,34,134,629.6,376.7
401,2,CF,6,X-59,34,134,669.1,446.7
607,3,CF,6,X-59,34,134,899.6,626.7
802,4,CF,6,X-59,34,134,848.8,596.7
107,1,CF,7,X-59,45,0,422.8,306.7
403,2,CF,7,X-59,45,0,673.8,536.7
506,3,CF,7,X-59,45,0,800.1,856.7
801,4,CF,7,X-59,45,0,936.8,796.7
108,1,CF,8,X-59,45,67,827.8,566.7
303,2,CF,8,X-59,45,67,609.9,746.7
504,3,CF,8,X-59,45,67,1180.6,1106.7
701,4,CF,8,X-59,45,67,1607.7,1536.7
109,1,CF,9,X-59,45,134,428.5,316.7
404,2,CF,9,X-59,45,134,758.6,666.7
603,3,CF,9,X-59,45,134,1383.4,846.7
809,4,CF,9,X-59,45,134,1590.4,966.7
201,1,CF,10,CRS-1,22,0,486.2,1006.7
408,2,CF,10,CRS-1,22,0,524.3,876.7
606,3,CF,10,CRS-1,22,0,332.5,736.7
804,4,CF,10,CRS-1,22,0,272.1,546.7
202,1,CF,11,CRS-1,22,67,679,1636.7
301,2,CF,11,CRS-1,22,67,664.4,636.7
502,3,CF,11,CRS-1,22,67,551.4,1196.7
803,4,CF,11,CRS-1,22,67,905.4,1436.7
203,1,CF,12,CRS-1,22,134,798,1506.7
309,2,CF,12,CRS-1,22,134,739.1,936.7
501,3,CF,12,CRS-1,22,134,529.9,926.7
704,4,CF,12,CRS-1,22,134,1121.5,2076.7
204,1,CF,13,CRS-1,34,0,361.2,706.7
406,2,CF,13,CRS-1,34,0,267.9,556.7
508,3,CF,13,CRS-1,34,0,642.8,946.7
705,4,CF,13,CRS-1,34,0,354.8,1086.7
205,1,CF,14,CRS-1,34,67,767,1516.7
407,2,CF,14,CRS-1,34,67,465.7,1166.7
609,3,CF,14,CRS-1,34,67,947.6,1046.7
702,4,CF,14,CRS-1,34,67,677.4,1686.7
206,1,CF,15,CRS-1,34,134,732.2,1316.7
409,2,CF,15,CRS-1,34,134,788.1,956.7
602,3,CF,15,CRS-1,34,134,691,1576.7
807,4,CF,15,CRS-1,34,134,701.7,1126.7
207,1,CF,16,CRS-1,45,0,267.3,796.7
405,2,CF,16,CRS-1,45,0,266.6,496.7
507,3,CF,16,CRS-1,45,0,487,906.7
708,4,CF,16,CRS-1,45,0,677.9,1286.7
208,1,CF,17,CRS-1,45,67,316,1106.7
302,2,CF,17,CRS-1,45,67,396.6,1066.7
505,3,CF,17,CRS-1,45,67,549.5,1326.7
808,4,CF,17,CRS-1,45,67,681.2,1626.7
209,1,CF,18,CRS-1,45,134,775.4,1066.7
308,2,CF,18,CRS-1,45,134,457.6,936.7
503,3,CF,18,CRS-1,45,134,901.1,1756.7
806,4,CF,18,CRS-1,45,134,738.6,1496.7
